Date,Day_1 Ticker Percent Change,Day_1 Ticker Volume,Day_-1 Ticker Percent Change,Day_-1 Ticker Volume,Day_2 Ticker Percent Change,Day_2 Ticker Volume,Day_-2 Ticker Percent Change,Day_-2 Ticker Volume,Day_3 Ticker Percent Change,Day_3 Ticker Volume,Day_-3 Ticker Percent Change,Day_-3 Ticker Volume,Day_4 Ticker Percent Change,Day_4 Ticker Volume,Day_-4 Ticker Percent Change,Day_-4 Ticker Volume,Day_5 Ticker Percent Change,Day_5 Ticker Volume,Day_-5 Ticker Percent Change,Day_-5 Ticker Volume,Day_6 Ticker Percent Change,Day_6 Ticker Volume,Day_-6 Ticker Percent Change,Day_-6 Ticker Volume
2020-01-09,12.46,835000.0,-0.13,353700.0,9.28,565700.0,-0.73,38700.0,-2.77,366100.0,-0.73,93300.0,-0.07,413500.0,-0.8,30200.0,3.29,668500.0,-1.62,417800.0,0.21,353600.0,0.08,109300.0
2020-03-13,-24.17,1183400.0,-8.42,692400.0,10.01,525600.0,-0.57,521200.0,-16.42,364000.0,5.82,385200.0,0.75,837300.0,-8.79,557200.0,4.84,465400.0,-2.43,397300.0,-0.65,646800.0,-2.92,534000.0
2020-03-16,10.01,525600.0,3.24,495600.0,-16.42,364000.0,-8.42,692400.0,0.75,837300.0,-0.57,521200.0,4.84,465400.0,5.82,385200.0,-0.65,646800.0,-8.79,557200.0,12.16,246400.0,-2.43,397300.0
2020-03-17,-16.42,364000.0,-24.17,1183400.0,0.75,837300.0,3.24,495600.0,4.84,465400.0,-8.42,692400.0,-0.65,646800.0,-0.57,521200.0,12.16,246400.0,5.82,385200.0,9.89,284400.0,-8.79,557200.0
2020-03-23,12.16,246400.0,4.84,465400.0,9.89,284400.0,0.75,837300.0,5.13,387600.0,-16.42,364000.0,-6.26,151900.0,10.01,525600.0,2.55,193000.0,-24.17,1183400.0,1.87,160000.0,3.24,495600.0
2020-05-07,13.58,751300.0,-2.0,169500.0,0.9,332300.0,0.63,291700.0,-6.51,367800.0,0.45,237500.0,-2.88,293200.0,-2.93,124500.0,0.26,202900.0,-2.43,216700.0,-0.26,232300.0,3.07,204200.0
2020-08-11,-14.67,2284300.0,0.1,273500.0,-0.08,772800.0,0.3,271600.0,0.42,633100.0,-2.27,221800.0,-1.38,372100.0,1.52,876300.0,0.47,388200.0,0.07,291400.0,0.19,361800.0,0.0,516500.0
2020-11-03,22.27,1195000.0,1.23,739900.0,1.09,387200.0,-1.0,207600.0,-2.51,417900.0,3.15,243000.0,-0.97,489800.0,-6.28,337900.0,0.29,367300.0,-2.3,220300.0,2.59,336600.0,-4.56,246800.0
2021-11-02,12.98,858700.0,3.56,154100.0,12.18,1178800.0,-0.14,337100.0,-0.83,725600.0,0.37,183200.0,-3.31,257800.0,-0.39,107300.0,-0.44,180200.0,0.34,370000.0,-2.27,233300.0,0.08,113500.0
2021-11-03,12.18,1178800.0,1.12,173500.0,-0.83,725600.0,3.56,154100.0,-3.31,257800.0,-0.14,337100.0,-0.44,180200.0,0.37,183200.0,-2.27,233300.0,-0.39,107300.0,1.12,117800.0,0.34,370000.0
